# Format is:
# name, path, locationX, locationY, locationZ, scale, rotationX, rotationY, rotationZ, rotationW

# Objewwwcts
"DMC Bridge", "objects/bridge/bridge", 43.5f, 6.5f, 71.2f, 0.40f, 0f, 0.43f, 0f, 0.9260f
"Car 112", "vehicles/car_silver/car",36.650177f,12.2f,-27.549877f,0.3f,0.0f,0.7825137f,0.0f,0.6226336f
"Car 113", "vehicles/car_red/car",46.750023f,12.2f,-76.65009f,0.3f,0.0f,0.77987f,0.0f,0.62594163f
"Car 114", "vehicles/car_yellow/car",47.400013f,12.2f,-73.94993f,0.3f,0.0f,0.77987f,0.0f,0.62594163f
"Car 115", "vehicles/car_blue/car",48.399998f,12.2f,-68.799614f,0.3f,0.0f,0.77987f,0.0f,0.62594163f
"Car 116", "vehicles/car_red/car",48.89999f,12.2f,-66.29946f,0.3f,0.0f,0.77987f,0.0f,0.62594163f
"Car 117", "vehicles/car_silver/car",24.150368f,12.2f,-62.749344f,0.3f,0.0f,-0.61958385f,0.0f,0.7849305f
"Car 118", "vehicles/car_blue/car",23.550377f,12.2f,-65.49941f,0.3f,0.0f,-0.61958385f,0.0f,0.7849305f
"Car 119", "vehicles/car_yellow/car",23.000385f,12.2f,-67.499535f,0.3f,0.0f,-0.61958385f,0.0f,0.7849305f
"Car 120", "vehicles/car_red/car",22.250397f,12.2f,-71.19976f,0.3f,0.0f,-0.61958385f,0.0f,0.7849305f
"Car 121", "vehicles/car_blue/car",22.0004f,12.2f,-73.09988f,0.3f,0.0f,-0.61958385f,0.0f,0.7849305f

# Trees
"Tree 1", "objects/trees/tree_w_berm/tree_w_berm",77.2f,12.9f,90.3f,0.19f,0.0000f,0.7380f,0.0000f,0.6748f
"Tree 2", "objects/trees/tree_w_berm/tree_w_berm",84.1f,13.5f,89.0f,0.19f,0.0000f,0.7380f,0.0000f,0.6748f
"Tree 3", "objects/trees/tree_w_berm/tree_w_berm",78.2f,13.5f,98.8f,0.19f,0.0000f,0.7380f,0.0000f,0.6748f
"Tree 4", "objects/trees/tree_w_berm/tree_w_berm",85.6f,13.5f,97.1f,0.19f,0.0000f,0.7380f,0.0000f,0.6748f
"Tree 5", "objects/trees/tree1/tree1",7.2f,8.7f,157.6f,0.30f,0.0000f,0.3067f,0.0000f,0.9518f
"Tree 6", "objects/trees/tree1/tree1",28.4f,9.2f,183.5f,0.30f,0.0000f,0.3067f,0.0000f,0.9518f
"Tree 7", "objects/trees/tree1/tree1",55.5f,9.5f,174.5f,0.30f,0.0000f,0.3067f,0.0000f,0.9518f
"Tree 8", "objects/trees/tree1/tree1",-40.0f,11.0f,71.5f,0.14f,0.0000f,0.3568f,0.0000f,0.9342f
"Tree 9", "objects/trees/tree1/tree1",10.0f,8.5f,160.0f,0.17f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 10", "objects/trees/tree2/tree2",33.7f,14.9f,-22.6f,0.38f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 11", "objects/trees/tree2/tree2",53.0f,14.1f,160.2f,0.38f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 12", "objects/trees/tree2/tree2",62.7f,14.1f,44.6f,0.38f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 13", "objects/trees/tree2/tree2",81.8f,14.3f,44.7f,0.46f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 14", "objects/trees/tree2/tree2",96.7f,14.9f,84.3f,0.46f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 15", "objects/trees/tree2/tree2",60.5f,14.0f,165.0f,0.33f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 16", "objects/trees/tree2/tree2",59.0f,14.0f,180.5f,0.33f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 17", "objects/trees/pineTree/pineTree",63.8f,14.4f,174.5f,0.63f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 18", "objects/trees/pineTree/pineTree",30.6f,14.4f,190.9f,0.63f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 19", "objects/trees/pineTree/pineTree",50.4f,15.2f,144.2f,0.63f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 20", "objects/trees/pineTree/pineTree",57.0f,15.1f,19.2f,0.37f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 21", "objects/trees/pineTree/pineTree",-7.4f,11.2f,19.6f,0.38f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 22", "objects/trees/pineTree/pineTree",62.892357f,15.451375f,-61.81623f,0.38f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 23", "objects/trees/tree1/tree1",48.58228f,13.451374f,-56.89865f,0.17f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 24", "objects/trees/tree1/tree1",16.833647f,13.451374f,-48.683327f,0.17f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 25", "objects/trees/pineTree/pineTree",9.394054f,13.451485f,-46.809696f,0.38f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 26", "objects/trees/tree2/tree2",2.9274583f,13.451485f,-45.13456f,0.33f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 27", "objects/trees/tree1/tree1",30.436161f,13.451437f,-14.662198f,0.17f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 28", "objects/trees/tree1/tree1",21.39861f,13.451438f,-13.0660095f,0.17f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 29", "objects/trees/tree2/tree2",14.356249f,13.451438f,-11.822203f,0.33f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 30", "objects/trees/tree2/tree2",4.3861866f,13.74509f,4.1969695f,0.33f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 31", "objects/trees/pineTree/pineTree",7.288539f,15.729433f,-1.104029f,0.38f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 32", "objects/trees/pineTree/pineTree",31.6f,15.7f,-62.8f,0.38f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 33", "objects/trees/tree2/tree2",39.0f,13.7f,-74.1f,0.33f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 34", "objects/trees/tree1/tree1",30.9f,13.7f,-69.2f,0.17f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 35", "objects/trees/tree1/tree1",40.7f,13.7f,-66.4f,0.17f,0.0000f,0.0000f,0.0000f,0.0000f

# Benches
"Bench 1", "objects/bench/bench",-32.8f,7.6f,101.3f,0.18f,0.0000f,-0.5892f,0.0000f,0.8080f
"Bench 2", "objects/bench/bench",-33.6f,7.6f,105.9f,0.18f,0.0000f,0.8828f,0.0000f,-0.4696f
"Bench 3", "objects/bench/bench",-37.8f,7.6f,109.2f,0.18f,0.0000f,0.9998f,0.0000f,0.0187f
"Bench 4", "objects/bench/bench",48.2f,9.7f,18.2f,0.18f,0.0000f,0.7638f,0.0000f,0.6455f
"Bench 5", "objects/bench/bench",47.7f,9.7f,21.5f,0.18f,0.0000f,-0.1811f,0.0000f,0.9835f
"Bench 6", "objects/bench/bench",44.5f,9.7f,20.3f,0.18f,0.0000f,-0.2190f,0.0000f,0.9757f
"Bench 7", "objects/bench/bench",-4.3f,9.7f,15.2f,0.18f,0.0000f,0.505f,0.0000f,0.8631f

# Buildings
"DMC", "buildings/dmc/dmc", 11f, 6.5f, 50f, 1.10f, 0f, -0.0699f, 0f, 0.9976f
"SSC", "buildings/ssc/ssc", -55f, 4.2f, 100f, 1.75f, 0f, 0.7726f, 0f, 0.6349f
"BTS", "buildings/bts/bts", 56f, -0.8f, 95f, 2.50f, 0f, -0.6372f, 0f, 0.7707f
"ENS", "buildings/ens/ens", 4f, 5.7f, 172f, 3.95f, 0f, 0.0799f, 0f, 0.9968f
"MIL", "buildings/milner/milner", 37f, 7.0f, 155f, 0.70f, 0f, 0.0762f, 0f, 0.9971f
"APP", "buildings/apple/apple", 77f, 9.0f, 123f, 6.10f, 0f, 0.9957f, 0f, -0.0925f
"LB", "buildings/library/library", 26f, 3.6f, 123f, 0.65f, 0f, -0.6910f, 0f, 0.7229f
"X", "buildings/btsstairs/btsStairs", 51f, -0.6f, 95.4f, 2.50f, 0f, -0.6372f, 0f, 0.7707f
"BRO", "buildings/brock/brock", 31f, 18.8f, -88f, 1.50f, -0.705f, 0.057f, 0.057f, 0.705f
"DFH", "buildings/callan/callan", -36f, 10.2f, 5f, 23f, 0f, -0.0853f, 0f, 0.9964f
"FH", "buildings/founders/founders", 92.1f, 16.5f, 187.0f, 1.03f, 0f, 0.0086f, 0f, 1f
"LAW", "buildings/lawlorPrinty/lawlorPrinty", 66f, 11.7f, 7f, 0.55f, 0f, 0.9956f, 0f, -0.0935f
"PR", "buildings/lawlorPrinty/lawlorPrinty", 32f, 11.7f, 4f, 0.55f, 0f, 0.1085f, 0f, 0.9941f
"MX", "buildings/maddox/maddox", 79f, 9.2f, 73f, 1.2f, 0f, 0.0810f, 0f, 0.9967f
"MCCH", "buildings/mcchesney/mcchesney", 10.0, 12f, -31.2f, 4.50f, 0f, 0.1118f, 0f, 0.9337f
"STCL", "buildings/mcchesney/mcchesney", -10.0, 12.4f, -68.0f, 4.50f, 0f, 0.1118f, 0f, 0.9337f
"TYL", "buildings/tyler/tyler", 53.1f, 7.9f, 194.9f, 3.7f, 0f, 0.7694f, 0f, 0.6388f
"PAT", "buildings/patterson/patterson", 111.1f, 10.5f, 147.8f, 2.48f, 0f, 0.0693f, 0f, 0.9976f
"WIL", "buildings/willets/willets", 61.0f, 9.4f, -32.0f, 0.81f, 0f, -0.6327f, 0f, 0.7744f
"WH", "buildings/williams/williams", 80.0f, 11.0f, 162.5f, 3.27f, 0f, 0.1005f, 0f, 0.9949f
"HRS", "buildings/safety/safety", 81.6f, 11.4f, 171.5f, 0.52f, 0f, 0.0984f, 0f, 0.9951f
"PHB", "buildings/pharmacy/pharmacy",-52f, 4.0f, 145f, 2f, 0f, -.4f, 0f, -0.2f
